index,court_rule_1,court_rule_2,court_rule_3,court_rule_4,court_rule_5,court_rule_6,court_rule_7,court_rule_8,court_rule_9,court_rule_10
'0224,C,C,B,C,B,A,,,,
'0225,B,C,B,D,B,C,B,B,,
'0226,A,A,A,B,D,A,A,B,,
'0227,A,D,D,B,C,B,A,,,
'0228,C,D,A,C,A,B,,,,
'0229,D,C,A,A,D,,,,,
'0230,D,C,B,B,A,D,A,B,,
'0231,C,D,A,A,A,,,,,
'0232,B,A,C,A,B,A,A,A,,
'0233,D,A,A,A,B,D,,,,
'0234,C,A,A,A,B,D,A,D,A,
'0235,D,C,A,C,,,,,,
'0236,C,D,C,B,C,C,A,,,
'0237,C,C,D,D,,,,,,
'0238,C,B,D,B,A,,,,,
'0239,A,A,B,B,A,A,,,,
'0240,C,A,C,C,,,,,,
'0241,A,A,D,D,D,D,,,,
'0242,A,B,A,A,,,,,,
'0243,C,A,C,B,A,D,C,C,D,
'0244,C,A,A,A,A,B,,,,
'0245,A,C,A,C,C,B,C,C,A,
'0246,B,A,C,C,A,A,D,D,,
'0247,C,A,B,C,C,B,,,,
'0248,D,A,C,A,A,D,B,C,,
'0249,B,D,C,D,D,D,C,C,A,
'0250,C,A,C,A,A,A,D,A,B,
'0251,C,C,B,C,B,D,B,B,B,D
'0252,A,A,C,A,,,,,,
'0253,A,A,D,D,D,A,A,A,,
'0254,A,D,C,A,A,C,A,A,B,A
'0255,A,A,D,B,B,A,C,A,A,
'0256,A,A,C,C,A,D,C,D,D,B
'0257,A,D,C,D,C,A,B,B,,
'0258,D,C,A,A,A,D,,,,
'0259,B,A,A,C,C,A,B,A,A,
'0260,B,B,D,D,,,,,,
'0261,C,B,B,C,B,,,,,
'0262,C,C,A,A,,,,,,
'0263,B,B,B,C,A,C,A,B,,
'0264,C,A,C,C,C,,,,,
'0265,B,B,A,C,B,A,A,A,,
'0266,C,C,C,D,A,D,D,A,A,
'0267,D,B,A,B,A,A,C,,,
'0268,A,A,B,A,A,D,,,,
'0269,B,B,D,B,C,D,D,A,A,
'0270,A,D,B,A,B,A,A,,,
'0271,B,D,C,B,C,,,,,
'0272,D,D,D,A,B,,,,,
'0273,A,A,C,A,C,A,A,D,A,
'0274,B,A,A,B,,,,,,
'0275,D,A,B,A,B,,,,,
'0276,C,C,A,D,C,A,,,,
'0277,C,A,A,D,C,,,,,
'0278,D,D,D,A,D,B,C,A,A,
'0279,B,C,D,B,A,,,,,
'0280,A,A,D,A,C,D,,,,
'0281,B,A,A,A,A,,,,,
'0282,B,C,B,C,A,B,A,,,
'0283,A,C,A,A,A,A,B,B,A,C
'0284,B,C,A,C,B,D,A,B,D,C
'0285,B,B,A,D,D,A,,,,
'0286,A,D,B,A,,,,,,
'0287,D,D,B,A,A,D,A,C,A,
'0288,C,D,A,A,B,D,C,D,,
'0289,D,A,A,C,A,D,A,A,D,
'0290,B,A,C,B,A,C,A,,,
'0291,B,B,A,B,D,A,A,,,
'0292,A,B,B,A,C,D,A,A,C,D
'0293,A,A,C,A,A,,,,,
'0294,D,C,A,D,C,C,D,D,,
'0295,C,A,B,D,A,A,C,B,,
'0296,D,A,D,A,A,A,,,,
'0297,A,C,A,A,,,,,,
'0298,A,B,B,B,C,,,,,
'0299,B,A,A,B,B,A,A,B,A,A
'0300,C,C,A,B,A,A,,,,
'0301,D,A,D,A,A,,,,,
'0302,C,A,B,A,B,C,D,A,A,C
'0303,C,B,C,A,A,,,,,
'0304,A,B,A,B,,,,,,
'0305,A,C,B,B,C,A,C,C,,
'0306,C,C,D,A,D,C,B,,,
'0307,D,D,B,C,A,D,B,B,C,C
'0308,C,B,C,D,C,D,A,D,A,C
'0309,A,B,D,D,B,,,,,
'0310,B,D,A,B,,,,,,
'0311,A,C,C,C,,,,,,
'0312,C,B,C,A,B,C,C,D,B,B
'0313,A,A,A,A,B,D,B,D,C,
'0314,B,D,C,D,B,A,C,,,
'0315,A,B,C,D,A,,,,,
'0316,A,C,C,C,A,A,,,,
'0317,B,D,C,A,A,A,D,B,A,
'0318,D,C,B,A,D,B,C,,,
'0319,D,B,D,A,,,,,,
'0320,B,D,B,C,C,D,A,D,,
'0321,C,A,B,B,A,A,,,,
'0322,C,C,B,A,A,A,D,B,A,A
'0323,C,C,D,A,A,A,B,,,
'0324,D,B,B,A,C,A,,,,
'0325,A,A,A,D,A,A,D,A,D,
'0326,B,A,C,D,C,A,D,A,D,
'0327,B,C,A,C,A,C,D,C,A,D
'0328,D,A,B,B,A,D,B,,,
'0329,A,A,B,D,B,,,,,
'0330,B,C,A,C,D,D,B,C,B,
'0331,A,A,D,D,A,A,A,A,B,
'0332,A,B,A,C,D,,,,,
'0333,A,D,A,D,B,,,,,
'0334,A,D,B,C,A,A,B,D,,
'0335,B,A,A,C,D,,,,,
'0336,A,A,B,D,B,D,D,B,,
'0337,C,A,D,C,B,A,D,C,A,
'0338,B,A,C,A,A,A,C,C,A,A
'0339,C,B,C,B,D,B,A,D,,
'0340,D,C,A,B,,,,,,
'0341,B,A,A,A,A,,,,,
'0342,D,D,C,D,B,,,,,
'0343,A,A,A,D,C,C,A,B,D,
'0344,A,C,A,A,C,A,B,D,A,
'0345,B,C,B,D,,,,,,
'0346,B,C,A,A,D,D,,,,
'0347,C,A,C,D,C,,,,,
'0348,A,C,A,A,C,C,,,,
'0349,D,A,D,C,D,B,C,,,
'0350,A,A,B,C,A,,,,,
'0351,A,A,B,A,B,A,B,B,,
'0352,C,D,C,A,B,B,A,,,
'0353,C,A,A,D,A,D,A,A,D,D
'0354,D,D,D,A,D,C,A,,,
'0355,A,A,D,A,,,,,,
'0356,D,B,A,A,C,D,A,,,
'0357,D,A,B,A,A,C,C,A,A,
'0358,A,A,B,A,C,B,B,C,C,
'0359,A,D,D,A,A,B,,,,
'0360,C,C,A,A,B,B,C,A,A,
'0361,A,C,A,B,A,A,B,A,A,
'0362,A,B,B,B,D,A,,,,
'0363,D,C,A,A,,,,,,
'0364,C,B,A,A,C,A,C,C,C,
'0365,C,A,D,A,C,A,B,D,B,
'0366,D,B,A,A,A,A,,,,
'0367,D,C,A,C,C,A,D,A,,
'0368,D,A,A,B,,,,,,
'0369,A,C,D,C,D,,,,,
'0370,D,A,A,C,A,,,,,
'0371,C,C,A,A,A,A,,,,
'0372,D,C,A,A,A,D,D,,,
'0373,D,C,A,A,A,C,,,,
'0374,C,D,C,C,B,A,C,,,
'0375,B,A,B,C,D,B,D,,,
'0376,A,C,C,A,C,A,D,B,A,
'0377,C,A,A,C,D,C,,,,
'0378,C,A,A,A,C,A,B,D,,
'0379,B,B,D,D,C,B,D,A,,
'0380,D,C,C,A,A,A,D,A,B,D
'0381,C,B,B,C,B,,,,,
'0382,A,C,D,A,A,D,A,A,,
'0383,C,B,D,D,D,D,B,,,
'0384,D,A,A,B,,,,,,
'0385,A,A,A,D,B,C,,,,
'0386,C,C,C,D,A,D,B,A,D,
'0387,C,B,B,C,A,C,A,,,
'0388,D,D,D,B,,,,,,
'0389,B,D,A,C,B,C,C,C,,
'0390,D,B,A,D,A,A,A,C,C,C
'0391,C,A,C,C,B,A,D,D,C,
'0392,B,B,A,A,A,,,,,
'0393,D,B,A,A,B,A,,,,
'0394,A,D,C,B,B,C,B,A,,
'0395,D,A,C,A,,,,,,
'0396,C,A,A,D,,,,,,
'0397,C,B,C,C,A,C,D,D,,
'0398,D,A,B,A,A,A,C,A,,
'0399,D,B,D,A,B,D,A,A,A,D
